,estimated_f2b,log_likelihood,trips_number,gradient,hessian_eigenvalues,asymptotic_confidence
0,0.0,-87.45934766465213,19.0,-19.0,-8.0,6.3137690675825835e-06
1,0.0,-17.73088605166729,4.0,-4.0,-3.0000000012999783,2.9990403071017273e-05
2,0.0,-59.85849336859039,12.0,-8.568536111516687,-9.07994006632418,1.3305146602882913e-05
3,0.0,-35.54251305435561,7.0,-3.74951192827946,-3.53325092765672,3.385876345985281e-05
4,0.0,-25.626986248779993,5.0,-4.999966541074031,-4.999933083491463,-2.16576411849367e-09
5,0.0,-15.197494495242228,3.0,-9.599550313047355e-08,2.2388260320543386e-10,-535823.7333368004
6,0.0,-93.38656665267892,19.0,-13.240364008020846,-23.961367760110317,6.419798362072435e-06
7,0.0,-41.7124536548843,8.0,-2.997072650545869,-2.334981507577917,4.996249062963145e-05
8,0.0,-71.85867638872124,15.0,-10.655504125549363,-2.7736657043328634,6.528190818447834e-06
9,0.2939827251434326,-28.30784965455208,5.0,8.909063172524156e-06,-18.70677220251558,1.0057902957324416e-05
10,0.0,-23.31500448486342,4.0,-2.8819343914989104,-11.792855050285754,4.324396218184816e-05
11,0.0,-84.73682866793531,15.0,-11.00232328900173,-11.001472587406322,1.0909425982177065e-05
12,0.0,-88.26028323997933,18.0,-17.63920891539352,-40.470472578678965,6.893588134418518e-06
13,0.12978020668029783,-51.488981635066374,9.0,-2.4921918683418198e-05,-17.399096790358595,2.9652915099486377e-06
14,0.0,-82.84068693901129,17.0,-12.98527864999697,-13.00010860167105,9.227739239814932e-06
15,0.0,-97.27893862690867,18.0,-11.397293775946308,-36.22187549114362,7.032340700407342e-06
16,0.15906924247741694,-72.57599730961836,12.0,-8.956409776649313e-07,-17.037582906980486,3.32114292189458e-06
17,0.0,-78.4963653629046,15.0,-14.99999427213659,-14.99864893000656,7.997532431164917e-06
18,0.0,-44.41115227067569,8.0,-3.9999999902589476,-4.0,2.9990403071017273e-05
19,0.0,-135.14715236170946,28.0,-23.56812387445757,-22.92255325896298,5.3210678981012975e-06
20,0.0,-87.14930888557689,16.0,-1.8929457403583063,-11.199932090002362,1.565729311938056e-05
21,0.0,-84.033176860252,14.0,-10.536550035219266,-6.949821790418324,1.2227012657848028e-05
22,0.0,-23.309728937783852,5.0,-2.9988817101735297,-2.999990464925148,3.9987331188736526e-05
23,0.0,-211.72013306742906,41.0,-33.97100702254698,-1792.8902727656753,3.5282468195705598e-06
24,0.09763987541198729,-116.63811282162666,23.0,-2.2213991630604113e-05,-3695.734073375983,8.095856214784165e-07
25,0.0,-157.92848760475732,32.0,-18.33243772113324,-1429.4692430558603,3.36272598124416e-06
26,0.0,-164.11706561490584,31.0,-24.970699760886983,-955.7468374027112,4.80498177325208e-06
27,0.0,-355.07764171774306,68.0,-26.455098650220403,-148.43522115422203,3.4949597962837375e-07
28,0.057549905776977536,-229.012553747247,40.0,2.7835638618967096e-05,-166.16381814213403,7.158200896937326e-07
29,0.0,-222.48407976407054,42.0,-28.5172633461614,-349.36726144074964,3.94433543141559e-06
30,0.0,-214.42211896785258,41.0,-22.679721047125934,-517.4574678111937,5.236451604177406e-06
31,0.0,-367.11117372270064,64.0,-34.00487319234737,-34.000201534886706,2.7366082699747088e-06
32,0.024733572006225585,-380.79334344154444,72.0,-0.0012768253362787085,-35.659563253882425,6.726929883692549e-08
33,0.0,-224.7275676099206,38.0,-8.220798728342947,-24.96587232487491,1.2221598238454526e-06
34,0.0,-318.11694499607677,58.0,-20.998255344427857,-98.00067331485539,3.46100708829637e-07
35,0.11937203407287597,-507.0392085149634,91.0,-0.000303154363995084,-43.850291190047585,3.411353453127655e-07
36,0.07069418907165526,-432.98930788834815,75.0,-4.59607290286268e-05,-22.900723898859432,2.8493641919875923e-07
37,0.0,-345.2627544286365,62.0,-6.865974925411139,-30.421137284402764,4.62693144307999e-07
38,0.0,-319.08109764692216,58.0,-32.58332115496235,-14.619098110937852,4.0606414199118e-06
39,0.0,-246.6624789251959,46.0,-13.621483125578031,-29.38467793243856,8.19246195467161e-06
40,0.0,-398.87076361031137,75.0,-41.01301626994719,-421.41579965500847,4.841656271366355e-07
41,0.08661801338195801,-375.9854010806948,65.0,0.0003242491433244942,-223.9208541883592,7.216575356096272e-07
42,0.06732550621032715,-393.5261635683467,69.0,-0.00011432668686854924,-346.81467023560197,3.50741797684021e-07
43,0.035043554306030275,-423.7208090288233,74.0,0.009786918386294363,-247.8480220148737,2.2907667753326058e-07
44,0.0074407482147216784,-379.6238929862511,65.0,0.06202961206624091,-342.68605409311357,1.924527498905771e-07
45,0.019274568557739256,-287.22874703355626,49.0,-0.0006353001465351227,-145.16541636523223,1.5877024670555153e-07
46,0.0,-317.89211415802134,50.0,-35.421171784227795,-449.5890004747026,3.4226400213988046e-06
47,0.028525228500366206,-953.7038856252614,168.0,-0.002276849311912299,-35.0479165819536,3.247580175529396e-08
48,0.4663293743133545,-1227.4231950099265,203.0,-0.0004070681461703085,-1840.563890057147,1.972637228461693e-07
49,0.07953320503234862,-1028.0585154409632,168.0,-0.0005974155061525543,-966.3782945948042,1.2504997252382376e-07
50,0.09795144081115721,-859.9637487173925,141.0,-0.00021682157046809536,-1178.730794863729,2.855758850295437e-07
51,0.0,-630.6837043993517,105.0,-28.017620725731646,-608.2426236355949,4.5980788748802137e-07
52,0.5306100368499755,-1345.8679536323443,237.0,4.047402378803966e-05,-4676.958877765024,2.3107372250644112e-07
53,0.0542548656463623,-1402.1165699698226,248.0,0.0010294353921480592,-3355.547655117512,7.815273668765298e-08
