,estimated_f2b,departure_time,log_likelihood,trips_number,gradient,asymptotic_confidence
0,0.0,2020-04-02 05:24:20,-87.45934766465213,19,-19.0,0.002770083102493075
1,0.0,2020-04-02 05:32:39,-17.73088605166729,4,-4.0,0.0625
2,0.0,2020-04-02 05:45:25,-59.85849336859039,12,-8.568536111516687,0.009242641840135997
3,0.0,2020-04-02 05:46:46,-35.54251305435561,7,-3.749511928279459,0.04032095031447617
4,0.0,2020-04-02 05:52:09,-25.626986248779993,5,-4.9999665410740315,-3.610761938349373e-06
5,0.0,2020-04-02 05:53:28,-15.197494495242228,3,-9.59955031304736e-08,-1488875547.0318553
6,0.0,2020-04-02 06:03:03,-93.38656665267892,19,-13.240364008020842,0.0028166020603282017
7,0.0,2020-04-02 06:04:20,-41.7124536548843,8,-2.9970726505458685,0.052060915236075984
8,0.0,2020-04-02 06:10:53,-71.8584558232911,15,-10.655317608256004,0.0036277295550183743
9,0.2941391601562501,2020-04-02 06:12:13,-28.307849800028315,5,-0.00186866476650005,0.01677577260166009
10,0.0,2020-04-02 06:14:51,-23.314561435799323,4,-2.8819421308969155,0.09011991140278089
11,0.0,2020-04-02 06:18:10,-84.73682866798822,15,-11.002323289001678,0.006062731653501162
12,0.0,2020-04-02 06:23:17,-88.26029904144892,18,-17.639293090828883,0.0031924786880704182
13,0.12999682617187497,2020-04-02 06:26:00,-51.48898258918855,9,-0.008781320993186625,0.0027520901599437956
14,0.0,2020-04-02 06:31:56,-82.83942731155935,17,-12.98527864999744,0.004524849076652459
15,0.0,2020-04-02 06:35:10,-97.27848210750429,18,-11.397480424754718,0.0032568374396125268
16,0.159264404296875,2020-04-02 06:37:17,-72.57599799830568,12,-0.007054713278685354,0.002311012313475504
17,0.0,2020-04-02 06:41:38,-78.49528982059238,15,-14.999994275630359,0.00444449537052459
18,0.0,2020-04-02 06:44:14,-44.41007865563125,8,-3.999999990258948,0.031249999999999993
19,0.0,2020-04-02 06:48:50,-135.14715236170946,28,-23.568123874457566,0.0015841579285204436
20,0.0,2020-04-02 06:50:24,-87.14930888557689,16,-1.892945740358306,0.008157449715197275
21,0.0,2020-04-02 06:51:47,-84.033176860252,14,-10.536550035219266,0.007280312679701514
22,0.0,2020-04-02 06:53:30,-23.309728937783852,5,-2.9988817101735292,0.06666687855786155
23,0.0,2020-04-02 06:59:43,-211.72033498786425,41,-33.97100706052852,0.0007173528168041339
24,0.09761956787109376,2020-04-02 07:03:15,-116.63811285177304,23,0.0029913595518140657,0.0002933279230226528
25,0.0,2020-04-02 07:06:11,-157.92880270020655,32,-18.332383924652422,0.000875991815332312
26,0.0,2020-04-02 07:09:20,-164.11727115955028,31,-24.97069976088742,0.0012920750987780805
27,0.0,2020-04-02 07:17:11,-355.0777423075685,68,-26.455580281608754,4.284563226750718e-05
28,0.05752908325195313,2020-04-02 07:18:49,-229.01255378449773,40,0.003550370543536019,0.00014910806452279199
29,0.0,2020-04-02 07:22:02,-222.48430628314992,42,-28.517263341001723,0.0007828566706532207
30,0.0,2020-04-02 07:24:28,-214.42211896798014,41,-22.679721047125934,0.0010646600140574278
31,0.0,2020-04-02 07:26:52,-367.1110684308292,64,-34.00488011368829,0.0003564434294091005
32,0.024736438751220703,2020-04-02 07:30:44,-380.79334345256916,72,-0.006414637204658513,7.789628519710555e-06
33,0.0,2020-04-02 07:32:05,-224.72741440411093,38,-8.220713627582985,0.0002680972881466327
34,0.0,2020-04-02 07:34:58,-318.11697796760524,58,-20.998254913787505,4.974303196629284e-05
35,0.11937208557128906,2020-04-02 07:39:08,-507.03932941008844,91,-0.0002729795285709713,3.124951680058202e-05
36,0.07068424987792968,2020-04-02 07:41:05,-432.98930579301236,75,0.004140361137613402,3.166411971523768e-05
37,0.0,2020-04-02 07:43:02,-345.2630917823614,62,-6.865985097713926,6.221067759480247e-05
38,0.0,2020-04-02 07:44:40,-319.08131173068233,58,-32.58332128420551,0.0005836122734139567
39,0.0,2020-04-02 07:46:00,-246.66247892473604,46,-13.621483125579072,0.001484616584143444
40,0.0,2020-04-02 07:49:42,-398.87094704679004,75,-41.01301627392703,5.3813392912047226e-05
41,0.08661373901367186,2020-04-02 07:52:12,-375.98549110341634,65,0.0014249375503764868,9.254738859426937e-05
42,0.06733067321777345,2020-04-02 07:53:56,-393.5263483459487,69,-0.0018901887176185244,4.2378652563666874e-05
43,0.035037254333496096,2020-04-02 07:55:38,-423.7206354152977,74,0.015247110015180199,2.5797530060530418e-05
44,0.007446464538574218,2020-04-02 07:57:26,-379.6240393002557,65,0.0573887859285358,2.468184030821389e-05
45,0.019275444030761715,2020-04-02 07:59:13,-287.22853331486255,49,0.0011741053043887728,2.7001625577625605e-05
46,0.0,2020-04-02 08:01:29,-317.89195517397235,50,-35.42117441902265,0.0005706224399576663
47,0.028526361465454106,2020-04-02 08:07:57,-953.7037854238837,168,-0.006429668452132997,1.611528207958274e-06
