,estimated_f2b,departure_time,log_likelihood,trips_number,gradient,asymptotic_confidence
0,0.0,2020-04-02 05:24:30,-91.1222270253192,19,-19.0,0.002770083102493075
1,0.0,2020-04-02 05:32:49,-18.516519918315705,4,-3.9999999999999996,0.0625
2,0.0,2020-04-02 05:45:35,-64.81895789804078,12,-8.905092154943842,0.009369093911905496
3,0.0,2020-04-02 05:46:56,-51.50875266390497,9,-3.3767843848779475,0.036371749294615896
4,0.0,2020-04-02 05:52:19,-29.79358445904251,5,-4.999999970009444,0.04000000047984889
5,0.0,2020-04-02 05:53:38,-13.93793551771283,2,9.615648505830131e-05,101788602.5387872
6,0.0,2020-04-02 06:03:13,-101.6849922172076,19,-14.511596241023561,0.0032938791468882823
7,0.0,2020-04-02 06:04:30,-35.59265948142751,7,-2.990406102185598,0.05355722806216057
8,0.0,2020-04-02 06:11:03,-73.6249649846445,15,-9.33902936340733,0.00255392923653786
9,0.2941391601562501,2020-04-02 06:12:23,-23.214473045830356,4,-0.002753035367329293,0.021296902768640862
10,0.0,2020-04-02 06:15:01,-23.719562547559374,4,-2.9694489922895553,0.08507500085146762
11,0.0,2020-04-02 06:18:20,-82.22669761985554,15,-10.950244690512813,0.006059858839884277
12,0.0,2020-04-02 06:23:27,-97.73308552399052,19,-17.920053954620894,0.0029491608746840064
13,0.1428013916015625,2020-04-02 06:26:10,-49.9481933256261,9,0.00461932288601119,0.0027088715508048295
14,0.0,2020-04-02 06:32:06,-84.354238219078,17,-12.91578866005652,0.00452383272472984
15,0.0,2020-04-02 06:35:20,-102.56820045849543,19,-11.30182263391753,0.002734678771633323
16,0.182678466796875,2020-04-02 06:37:27,-74.68560266325642,12,-0.0005736887253071435,0.0026963939824805254
17,0.0,2020-04-02 06:41:48,-78.63822720118227,15,-14.999978063981198,0.00444445744354755
18,0.0,2020-04-02 06:44:24,-39.21749017441147,8,-3.9999578509175633,0.031249999989552517
19,0.0,2020-04-02 06:49:00,-141.40184152965566,28,-24.575336576703613,0.0014751576078560538
20,0.0,2020-04-02 06:50:34,-92.92766223471409,17,-2.357289119873911,0.009697910201253804
21,0.0,2020-04-02 06:51:57,-79.84135523069716,14,-10.2493661028093,0.007523486289908938
22,0.0,2020-04-02 06:53:40,-22.872217780173457,5,-2.9848368154202634,0.06666906135288495
23,0.0,2020-04-02 06:59:53,-218.02810627976166,41,-33.86234384596983,0.0007172113512687241
24,0.08542474365234376,2020-04-02 07:03:25,-123.09101976155806,24,0.0009112073600072712,0.00025442739816107285
25,0.0,2020-04-02 07:06:21,-166.94461974221616,34,-15.03409548261473,0.0005598828421144898
26,0.0,2020-04-02 07:09:30,-155.79479399315608,30,-24.897972049084224,0.0013364910790751737
27,0.0,2020-04-02 07:17:21,-360.4020109241856,68,-29.496310195379422,4.4403039970595405e-05
28,0.06554718017578125,2020-04-02 07:18:59,-207.06679197353216,37,-0.00551301373569224,0.0001967495223589154
29,0.0,2020-04-02 07:22:12,-209.97354582591686,41,-27.614645818114038,0.0007649873677352854
30,0.0,2020-04-02 07:24:38,-192.99378488151436,38,-23.01395855997817,0.0011421087723304448
31,0.0,2020-04-02 07:27:02,-374.4679120016503,67,-36.484811204790766,0.00040008256782360515
32,0.024484920501708987,2020-04-02 07:30:54,-373.3558246249515,71,8.924046146230324e-05,8.189528017929048e-06
33,0.0,2020-04-02 07:32:15,-224.51047790225527,41,-10.806189964510423,0.00047870964274176174
34,0.0,2020-04-02 07:35:08,-324.1747581296083,59,-27.515282570583018,0.00012589760108821976
35,0.1209269256591797,2020-04-02 07:39:18,-514.4840914951967,93,-0.002026953054877545,3.073834311388942e-05
36,0.0671477508544922,2020-04-02 07:41:15,-399.30993029684316,71,-0.0031800897358102986,3.189824248067094e-05
37,0.0,2020-04-02 07:43:12,-356.2452655115059,66,-15.535785183603174,0.00013084110786125297
38,0.0,2020-04-02 07:44:50,-304.10320857071395,56,-32.16961653906982,0.000579327959620482
39,0.0,2020-04-02 07:46:10,-252.03029744512713,48,-11.529820277590812,0.0013973984895127303
40,0.0,2020-04-02 07:49:52,-394.58701771788026,75,-33.688502335434364,2.8631611938857237e-05
41,0.08246749877929688,2020-04-02 07:52:22,-359.1980663932264,64,-0.007419736420605987,7.491648390013905e-05
42,0.07643106079101564,2020-04-02 07:54:06,-383.8551477044606,67,-0.004077653360278065,4.830848230116215e-05
